frame,label,area,centroid_x,centroid_y,original_label,perimeter,show
2,118,0,0.0,0.0,124.0,1,0
2,119,0,0.0,0.0,125.0,1,0
2,120,0,0.0,0.0,126.0,1,0
2,121,0,0.0,0.0,127.0,1,0
2,122,0,0.0,0.0,128.0,1,0
2,123,0,0.0,0.0,129.0,1,0
2,124,0,0.0,0.0,130.0,1,0
2,125,0,0.0,0.0,131.0,1,0
2,126,0,0.0,0.0,133.0,1,0
2,127,0,0.0,0.0,135.0,1,0
2,128,0,0.0,0.0,136.0,1,0
2,129,0,0.0,0.0,138.0,1,0
2,130,0,0.0,0.0,139.0,1,0
2,131,0,0.0,0.0,140.0,1,0
2,132,0,0.0,0.0,141.0,1,0
2,133,1971,124.806694,246.2080231,142.0,174,1
3,0,2467,28.39035225,23.87798882,1.0,117,1
3,1,395,55.42025375,5.658227921,2.0,42,1
3,2,4130,37.2341423,75.96973419,3.0,224,1
3,3,2589,129.7562714,16.83816147,4.0,118,1
3,4,0,0.0,0.0,5.0,1,0
3,5,3010,217.637207,43.7990036,6.0,218,1
3,6,3089,280.1994324,27.99838066,7.0,153,1
3,7,3497,326.6717224,35.5893631,8.0,183,1
3,8,3192,368.0560913,68.68296051,9.0,196,1
3,9,2006,414.1365967,21.67597198,10.0,123,1
3,10,2342,451.2199097,30.35311699,11.0,151,1
3,11,1874,494.0,24.78868675,12.0,70,1
3,12,2825,161.9157562,51.18478012,13.0,189,1
3,13,2617,239.5674438,77.02368927,14.0,192,1
3,14,3028,410.5244446,90.5201416,15.0,200,1
3,15,1567,496.6764526,83.39310455,16.0,93,1
3,16,2709,98.35659027,85.25765991,17.0,197,1
3,17,6072,286.8842163,110.8600159,18.0,289,1
3,18,1950,186.5230713,105.4117966,19.0,164,1
3,19,2428,146.4979401,106.9126816,20.0,176,1
3,20,3244,463.1593628,84.02127075,21.0,234,1
3,21,4647,354.7843628,137.881424,22.0,282,1
3,22,2619,217.1111145,131.8403931,23.0,196,1
3,23,2754,28.24073982,130.9491577,24.0,162,1
3,24,3628,92.62734222,135.1295471,25.0,221,1
3,25,1870,485.8267517,134.1620331,26.0,132,1
3,26,427,6.173302174,162.9250641,27.0,48,1
3,27,3360,154.7488098,161.5005951,28.0,201,1
3,28,4297,306.1023865,177.9697418,29.0,229,1
3,29,8115,417.6062927,170.9733887,30.0,326,1
3,30,4769,233.6674347,188.5976105,31.0,246,1
3,31,3171,46.18259048,179.0712738,32.0,212,1
3,32,4731,96.58169556,206.6009369,33.0,235,1
3,33,4243,178.6424713,218.1586151,34.0,232,1
3,34,3718,348.2985535,228.9488983,35.0,220,1
3,35,386,7.904145241,194.5077667,36.0,48,1
3,36,3360,25.24404716,237.7419586,37.0,162,1
3,37,3933,275.6529236,235.2789154,38.0,229,1
3,38,3777,448.8451233,247.3685455,39.0,254,1
3,39,3973,401.7309265,268.9255066,40.0,219,1
3,40,3531,216.1747437,276.3401184,41.0,213,1
3,41,4681,288.4428406,287.3798218,42.0,261,1
3,42,4278,160.5180054,287.1030884,43.0,229,1
3,43,3363,358.8382263,295.367218,44.0,203,1
3,44,3649,91.9161377,315.046875,45.0,215,1
3,45,3467,25.99913406,304.2315979,46.0,157,1
3,46,2567,439.2921753,329.6731567,47.0,186,1
3,47,2043,484.869812,326.9075012,48.0,141,1
3,48,3799,336.1242371,348.6251526,49.0,204,1
3,49,2773,393.7078857,346.8986511,50.0,200,1
3,50,4303,139.1863861,351.7557373,51.0,229,1
3,51,3900,262.957428,340.7379456,52.0,227,1
3,52,4035,205.3786926,352.3045959,53.0,240,1
3,53,7436,49.40787888,374.7015991,54.0,261,1
3,54,1171,500.0888062,366.0674744,55.0,103,1
3,55,3249,467.9713745,388.2985535,56.0,197,1
3,56,2529,414.7093811,389.1866455,57.0,198,1
3,57,5070,287.3905334,396.4477234,58.0,253,1
3,58,4787,358.1455994,422.1884155,59.0,246,1
3,59,1998,169.6846771,402.3908997,60.0,164,1
3,60,3913,217.1517944,421.2415161,61.0,219,1
3,61,3293,124.9356232,416.7418823,62.0,190,1
3,62,1489,499.0053711,425.9388733,63.0,86,1
3,63,1411,9.501063347,442.7384949,64.0,119,1
3,64,4482,420.0243225,444.8725891,65.0,233,1
3,65,4502,307.9475708,472.1321716,66.0,194,1
3,66,2972,158.8650665,461.5154724,67.0,194,1
3,67,2578,439.1268311,495.0077515,68.0,122,1
3,68,2724,365.4320984,490.7037354,69.0,130,1
3,69,2842,86.58691406,444.5482178,70.0,214,1
3,70,2858,205.1497498,488.1581421,71.0,130,1
3,71,1781,137.5429535,498.2290955,72.0,110,1
3,72,3371,483.1109314,471.0474548,73.0,151,1
3,73,1542,375.88974,22.80933762,74.0,141,1
3,74,2503,485.5992737,279.5673218,75.0,172,1
3,75,3655,256.8257141,470.8615723,76.0,197,1
3,76,4334,34.37932587,464.894104,77.0,223,1
3,77,2384,81.48616028,491.1522522,78.0,162,1
3,78,263,3.247148275,51.80988693,79.0,43,1
3,79,65,510.6769104,287.8923035,80.0,23,1
3,80,2247,493.138855,224.3551331,82.0,122,1
3,81,0,0.0,0.0,83.0,1,0
3,82,2387,485.6225281,174.1005402,84.0,139,1
3,83,0,0.0,0.0,85.0,1,0
3,84,0,0.0,0.0,86.0,1,0
3,85,2676,74.15246582,265.0953064,87.0,195,1
3,86,0,0.0,0.0,88.0,1,0
3,87,0,0.0,0.0,90.0,1,0
3,88,0,0.0,0.0,91.0,1,0
3,89,0,0.0,0.0,92.0,1,0
3,90,1554,205.4202118,11.17117119,93.0,94,1
3,91,0,0.0,0.0,94.0,1,0
3,92,0,0.0,0.0,95.0,1,0
3,93,0,0.0,0.0,96.0,1,0
3,94,0,0.0,0.0,98.0,1,0
3,95,0,0.0,0.0,99.0,1,0
3,96,0,0.0,0.0,100.0,1,0
3,97,0,0.0,0.0,101.0,1,0
3,98,0,0.0,0.0,102.0,1,0
3,99,0,0.0,0.0,104.0,1,0
3,100,0,0.0,0.0,105.0,1,0
3,101,0,0.0,0.0,106.0,1,0
3,102,0,0.0,0.0,108.0,1,0
3,103,0,0.0,0.0,109.0,1,0
3,104,0,0.0,0.0,110.0,1,0
3,105,0,0.0,0.0,111.0,1,0
3,106,0,0.0,0.0,112.0,1,0
3,107,0,0.0,0.0,113.0,1,0
3,108,0,0.0,0.0,114.0,1,0
3,109,0,0.0,0.0,115.0,1,0
3,110,0,0.0,0.0,116.0,1,0
3,111,0,0.0,0.0,117.0,1,0
3,112,0,0.0,0.0,118.0,1,0
3,113,2801,91.80113983,37.725811,119.0,197,1
3,114,0,0.0,0.0,120.0,1,0
3,115,0,0.0,0.0,121.0,1,0
3,116,0,0.0,0.0,122.0,1,0
3,117,0,0.0,0.0,123.0,1,0
3,118,0,0.0,0.0,124.0,1,0
3,119,0,0.0,0.0,125.0,1,0
3,120,0,0.0,0.0,126.0,1,0
3,121,0,0.0,0.0,127.0,1,0
3,122,0,0.0,0.0,128.0,1,0
3,123,0,0.0,0.0,129.0,1,0
3,124,0,0.0,0.0,130.0,1,0
3,125,0,0.0,0.0,131.0,1,0
3,126,0,0.0,0.0,133.0,1,0
3,127,0,0.0,0.0,135.0,1,0
3,128,0,0.0,0.0,136.0,1,0
3,129,0,0.0,0.0,138.0,1,0
3,130,0,0.0,0.0,139.0,1,0
3,131,0,0.0,0.0,140.0,1,0
3,132,0,0.0,0.0,141.0,1,0
3,133,2079,124.0634918,248.7335205,142.0,190,1
4,0,2399,25.53980827,27.30012512,1.0,112,1
4,1,718,54.08217239,7.502785683,2.0,59,1
4,2,3761,35.61659241,79.04200745,3.0,194,1
4,3,2632,127.5984039,15.77165699,4.0,119,1
4,4,0,0.0,0.0,5.0,1,0
4,5,3141,215.5460052,45.81279755,6.0,225,1
4,6,3077,277.3870544,28.70100784,7.0,159,1
4,7,3740,324.6925049,35.93582916,8.0,190,1
4,8,3572,366.5688782,69.89529419,9.0,211,1
4,9,1885,412.3649902,21.95755959,10.0,125,1
4,10,2438,449.9130554,29.82157516,11.0,163,1
4,11,2101,493.3788757,27.10804367,12.0,82,1
4,12,3121,157.4988861,53.49279022,13.0,210,1
4,13,2545,236.8624725,80.25894165,14.0,191,1
4,14,3143,407.6916809,94.64047241,15.0,211,1
4,15,1715,494.8752136,83.79766846,16.0,98,1
